id	text	score
71	because they are small so it takes less longer to evolve.	2
72	because they are small.	2
73	because they are smaller	2
74	because they are smaller and evolve faster	2
75	because they are smaller and over time will get bigger.	2
76	BEcause they are smaller and their DNA is more compatible to evolutions.	2
77	because they are smaller than elephants	2
78	because they are smaller.	2
79	Because they carry diereses	2
80	because they evolve faster then the elephants the elephants reproduce once every 5 years and the fruit flys 36 times a year	2
81	because they get older faster and they will die.	2
82	because they had more time to evolve in there longer life	2
83	because they have faster lifes	2
84	because they have more time than the fruit flies	2
85	because they have more time to notice what could be wrong with them and then they might evolve what seems faster.	2
86	Because they have time to adapt to their surroundings.	2
87	Because they populate less.	2
88	because they produce faster than elephants.	2
89	because they produce less offspringaEU(tm)s.	2
90	Because they reproduce 36 times a year while the elephant only reproduces once every five year.	2
91	because they same time for evoloution	2
92	Because they will have more time to evolve and change before reproducing.	2
93	because they will know what they need and their young will adapt.	2
94	Because, the fruit flies are more smaller and lighter that the elephants.	2
95	becouse they are big	2
96	cause here smaller and they have smaller parrts to evoulte from	2
97	elaphants are fat	2
98	Elefants reproduce less giving them more time to adapt to their environment and evolve better.	2
99	Elephants already have many traits and it evolves once every 5 years. But the fruit fly evolves 36 times a year and is much smaller so it hasn't fully evolved yet.	2
100	Elephants because since they dont reproduce as fast they could adapt to changes unlike the flies reproducing so much theres not enough time to adapt.	2
101	Elephants because their traits will be passed down faster.	2
102	Elephants because there are less of them so they need to learn to survive	2
103	Elephants because they don't reproduce more than the Fruit flies and there are less chances to have more than the fruit flies.	2
104	Elephants because they have a way longer lifespan than fruit flies. Which means there is more time to have an evolutionary trait.	2
105	Elephants because they live longer witch a fruit fly dies like in two days	2
106	elephants because they reproduce every 5 years and probaly more by birthrate.	2
107	Elephants because they will have more time to evolve and gain different traits.	2
108	Elephants because, since their population is so small they could easily grab all the resources they need to survive such as water, food, space, and a environment making it easy to evolve a lot faster.	2
109	Elephants breed slower, so their population is less, and the good traits will be bred in more often than fruit flies.	2
110	Elephants have more human like attributes than fruit flies so they might evolve into humans faster.	2
111	Elephants have more time to adapt to their surroundings and evolve even though they reproduce less than fruit flies.	2
112	Elephants have older siblings and family to help them grow through childhood.	2
113	Elephants have survived longer	2
114	elephants might have more traits that are able to change over time because they carry more traits than flies	2
115	elephants might have more traits that could help it grow/take on more traits that will help it change	2
116	Elephants reproduce less, so they will evolve easily.	2
117	Elephants will evolve faster because it has more time to change and adapt to its envronment.	2
118	Elephants will evolve faster because they will have more time to evolve to their environment if anything happens to the environment.	2
119	Elephants will evolve faster than fruit flies because although there are many more fruit flies than elephants, the elephants will have a longer life and have more of a chance to evolve.	2
120	Elephants will evolve faster than fruit flies because although there are more fruit flies, the elephants will have more time to evolve and change.	2
121	Elephants will have more time to change in their lifetime so that when they finally reproduce the trait will be passed on. Or they will die with a bad trait and it won't be passed on.	2
122	Elephants will involve faster because elephants reproduce about once every 5 years, and the elephants that produce faster will have more kids and pass their traits.	2
123	Elephants, because fruit flies die way more often than elephants.	2
124	Elephants,because they reproduce very slowly, and if one baby's gene is messed up, there won't be really any baby to replace it, so it might evolve to a slightly different specie.But for fruit flies, even if one is messed up, there are a lot of other ones,so the generation will continue on.	2
125	Even if fruit flies reproduce so often, elephants have features that can evolve very easily.	2
126	Even though the elephants take longer to reproduce the fruit flies die everyday, so in the end elephants would win.	2
127	Every time the elephant reproduses the baby will come out diffrent and mabye in the next genarations the reproducing will go faster.	2
128	Fruit Flies, because the more that they reproduce the more that each one will adapt to different places and evolve faster.	2
129	fruit becase they grow 36 times a year and elephants 1 ever 5 years	2
130	Fruit flies are alot smaller then elephants. So evolution is easier to occor.	2
131	fruit flies are flies so it is so possible the flies are faster then an elephant.	2
132	Fruit flies are much faster in flying.	2
133	fruit flies are smaller	2
134	fruit flies are smaller creamers and they are easyer to evolve and change	2
135	fruit flies are smaller so they can evolve and spread faster than elepants	2
136	Fruit flies are smaller so they would have to addapt to thei habbitat	2
137	Fruit flies are smaller than elephants so they require less care and can produce faster because of that.	2
138	Fruit flies are super small.	2
139	Fruit flies are tiny.	2
140	Fruit flies because #6 times in a year is greater than once every 5 years	2
141	fruit flies because the smaller the animal the faster it will evolve and the fly reproduces 36 times a year while the elephant reproduces only 5 times a year.	2
142	fruit flies because there are so many of them they reproduce alot.	2
143	Fruit flies because they are a smaller animal and they move faster than elephants.	2
144	Fruit flies because they are smaller and because they would have to mate a lot to reproduce 36 times a year. To reproduce, they would have to have a partner and that partner could be any kind of insect/ fly. So it would evolve.	2
145	fruit flies because they evolve faste	2
146	Fruit flies because they produce more so then many of them could grow and evolve and look different.	2
147	Fruit flies because they reproduce 36 times a year, and elephants reproduce about once every 5 years.	2
148	Fruit flies because they reproduce so much faster. This gives lots of flies a chance to evolve.	2
149	Fruit flies can multiply two times or more during the elephants five years.	2
150	fruit flies come and leave the community faster than elephants.	2
151	Fruit flies definitely evolve faster because as fruit flies evolve to adapt, the traits learned are passed down to their offspring much faster than elephants.	2
152	Fruit flies dont live very long and you need death in a population for the changes to happen	2
153	Fruit flies evolve much faster, and when both species need to evolve they can do this process through evolution in offspring.	2
154	fruit flies has short life spans, therefore giving them little time to adapt. however, the elephant can live more than 30 years, which gives it plenty of time to evolve	2
155	Fruit flies have 36 chances every year to evolve, while the elephant has only once every five years.	2
156	fruit flies need to evolve to survive because they are small	2
157	Fruit flies reproduce faster, but elephants live longer. That would give them time over each long generation to evolve.	2
158	Fruit flies will evolve faster than elephants because they evolve 36 times a year.	2
159	Fruit Flies will evolve faster, because when more are born, then they have a more likely change to evolve than elephants.	2
160	Fruit flies will reproduce faster because their birth rate is a lot higher than the deat rate, and the elephants reproduce a lot less often.	2
161	Fruit flies will reproduce faster because they are not slow like the elephants are. Fruit flies take a small amount of time to become an adult, unlike the elephant the little baby might take more than a year to be fully grown.	2
162	Fruit flies would evolve faster since they reproduce more giving characteristics they have to more offspring.	2
163	Fruit flies' have a shorter lifetime than a elephant. So the fruit fly would reproduce more.	2
164	Fruit fly's are much smaller and could adapt quicker.	2
165	Fruit flys are smaller and have shorter life spands	2
166	Fruit Flys because if they noticed something bad they have enough generations that would have it so it go down along the line faster.	2
167	Fruitful have more opportunities to evolve than elephants	2
168	fruits flies because when they have a baby a lot more than just one or two will be born.	2
169	has a longer time period to evolve	2
170	i believe that fruit flies will evolve faster because a lot of small animals eat bugs and they don't have a lot of bone dexterity so they are easier to eat and hunt.	2
171	I believe that fruit flies will evolve faster because evolution happens over generations.	2
172	i belive fruit flies evolved faster than elephants because fruit flies are smaller and might not take as much time to evolve as a elephant which has offsprign every five years!	2
173	i choose fruit because they reperdus the fruit	2
174	i choose the elephants because they reproduce every five years and fruit flies reproduce 180 more for every 5 yrs.	2
175	I chose elephants because they reproduce slowly but i think the slower they reproduce the more features they pick up from thy're previous generation.	2
176	I chose fruit flies because if they reproduce 36 times a year, their organisms must affecting them to evolve (maybe even more).	2
177	i chose this because elephants can change more in their longer lifetime and pass it on changing more rapidly and dramatic.	2
178	I feel that the elephant would have a better chance of evolving because the elephants would have a longer amount of life to be able to adapt and evolve to their environment.	2
179	I said fruit flies evolve faster because they are much smaller than an elephant and reproduce 36 times a year and elephants only reproduce 1 every 5 years which is a big difference.	2
180	I said fruit flies, because of how much they produce.	2
181	I think elephants because fruit flies die really fast I think about 2 days is it so they won't really have that chance to have babies and I think elephants because they will need to get faster to water when they travel so I think they will get smaller and faster.	2
182	I think elephants because over time the longer the animal waits to evolve the more it will change while fruit flies evolve 36 times a year and change in tiny incroments elephants save up all the evolutionary trait for 5 years.	2
183	I think elephants because they are bigger and live longer where as fruit flies are smaller and die faster.	2
184	I think elephants because they are larger animals	2
185	I think elephants because they have been around for a while and they are bigger then fruit flies.	2
186	I think elephants because, fruit flies are just really small and stay the same, so I think elephants would have evolved faster.	2
187	I think elephants evolve faster because they are't always reproducing they are evolving faster to.	2
188	I think elephants evolve faster because they reproduce slower.	2
189	I think Elephants will evolve faster because if there is less of them it's easier for them all to change.	2
190	I think elephants will evolve faster because they are easier to find cause they are bigger and Fruit flies are really small insects an its hard to catch them also cause they could fly.	2
191	I think Elephants with evolve faster because they has less babies so more of them can change faster.	2
192	I think elephants would evolve faster because it has more time in between reproduction. If an elephant adapts to its surroundings during a period of 5 years, its offspring will have those adaptations immediately.	2
193	I think fruit flies because elephants only reproduce once every 5 years and fruit flies reproduce 36 every year	2
194	I think fruit flies because they have little to grow and elephants are huge so they have to get all that up there.	2
195	i think fruit flies because they know what to change because it one is not living good they will change to be better	2
196	I think fruit flies because they reproduce 36 times a year while the elephants on reproduces 1 every 5 years	2
197	I think fruit flies because they reproduce faster so they have more chances to evolve.	2
198	I think fruit flies evolve faster because how they are small it might be easier to for them to evolve and they might find new ways to survive faster and get better traits.	2
199	I think fruit flies evolve faster because they are a lot smaller.	2
200	i think fruit flies evolve faster because they have more time to evolve then elephants	2
201	I think fruit flies evolve faster because they reproduce about 36 times a year while an elephant reproduces about once every 5 years.	2
202	I think fruit flies evolve faster because they reproduce more	2
203	I think fruit flies will evolve faster because each time they reproduce the person will change until a point were the first one will be very different with the last one. They might change to get better traits or to make something better in their life.	2
204	I think fruit flies will evolve faster because if they reproduce 36 times a year,then in that time, they would develop better defenses.	2
205	I think fruit flies will evolve faster because it is tiny.	2
206	I think fruit flies will evolve faster because it reproduces 36 times a year where elephants reproduce once every five years.	2
207	I think fruit flies will evolve faster because more of them are reproducing faster and the population will increase faster.	2
208	I think fruit flies will evolve faster because they are smaller and lighter then elephants so it will take less time.	2
209	I think fruit flies will evolve faster because they are tiny.	2
210	I think fruit flies will evolve faster because they reproduce pretty fast and the elephant may die after five years so i'm going for the flies.	2
211	I think fruit flies will evolve faster, because there are more of them that need to survive so they need to evolve quickly in order to survive	2
212	I think fruit flies would evolve faster because one fruit fly reproduces about 36 times a year.	2
213	i think fruit flies would evolve faster because they are alot smaller than elephants.	2
214	I think fruit flies would evolve faster, because it says that fruit flies reproduce 36 times a year and elaphants reproduce only 5 time s a year.	2
215	i think fruitflies because they reproduce alot more than elephants	2
216	I think that because each generation will change a bit. The more they reproduce the more change will be made	2
217	I think that Elephants evolve faster because they learn more traits over the years	2
218	I think that elephants evolved faster because there was less population.	2
219	I think that elephants will evolve faster because fruit flies might take up to much energy to evolve faster than an elephant	2
220	I think that elephants will evolve faster because it takes them a while so them the elephants will be able to get different kinds of traits.	2
221	I think that elephants will evolve faster because they don't repeat their genes as much as the flies, so the offspring will have a more longer, different change.	2
222	I think that elephants will evolve faster because, they reproduce slower, which might mean that they'll become extinct faster, which probably means evolution!	2
223	I think that fruit evolve faster because they're body is a lot smaller which means that its not as hard as to evolve.	2
224	I think that fruit flies evolve the faster because they're body is a lot smaller.	2
225	I think that fruit flies will evolve faster because as more flies come about they will think of new and better ways for themselves to live. This will result in evolution.	2
226	I think that fruit flies will evolve faster because they reproduce more and can experience more.	2
227	I think that it is elephants because they take longer and because they are lager than fruit flies	2
228	I think that the elephant will evolve faster because elephant will never be able to reproduce as fast as other animals and once the elephants have 5 years for 5 babies the dragon flies have 180 fruit flies in five years.	2
229	I think that the elephant will evolve faster because there is more time to change and adapt to the surroundings.	2
230	I think that the elephant will evolve faster, because fruit flies don't really live that long and elephants live longer i think elephants also because they live longer and don't really get killed by humans like flies	2
231	I think that the fruit flies will evolve faster because it keeps coming and it gets used to everything in its surroundings.	2
232	I think that the fruit fly will evolve faster because the more they reproduce the stronger they can get and they can learn who to breed with to live longer.	2
233	I think that these will evolve faster because if they mate a lot then one of them must mate with a different kind of fruit fly.	2
234	I think that this will happen because the elephants have more time to develop new traits before they have a baby or they would develop more than one trait over time.	2
235	I think the elephant will evolve faster because it's taking it's time to change and fruit flies change 36 times in a year and elephant eat more then fruit flies...	2
236	I think the flies would evolve faster because the flies are smaller and have a lot of predators.	2
237	I think the fruit flies evolved faster because it evolved 36 times a year and the elephant did it once every 5 years.	2
238	I think the Fruit Flies is faster because 36 times a year is every day.	2
239	I think the fruit flies will because they are able to reproduce faster and they might gain more traits this way.	2
240	I think the fruit flies will evolve faster because they went through more rough times that they need to survive from.	2
241	I think the fruit flies will, because they have a lot more chances to evolve than the elephants.	2
242	I think they might evolve faster because they are smaller and its quite easier for them to survive.	2
243	i think they will envole by they will grow and get fater and stronger.	2
244	I think this because fruit flies die a lot per day	2
245	I think this because the elephant will have more time to evolve.	2
246	i think this, because it reproduces slower so it has more time to evoulve	2
247	If evolution happens over generations than the faster the generations grow the faster they evolve	2
248	it gives them more time to change	2
249	it hurts	2
250	it must survive long enough for it to adaped to its enviorment and evolve to be able to survive fruit flies average life span is less than a day	2
251	It only takes an a elephant 5 years to reproduce so that pretty fast.	2
252	It take very long for some one or something to evolve.	2
253	More expansion=more different types	2
254	More offspring means their are more generations, so in 5 years an elephant will have one generation, while a fruit fly will have many, making each fly more adapted to its environment.	2
255	more time	2
256	more time to develope traits to offspring	2
257	more traits are passed down through less amount of offspring	2
258	More varieties of fruit flies could be considered.	2
259	over a slower and longer time span a species can gain more attributes and traits.	2
260	"print>>> ""ALL THAT OFFSPRING!!!!!!!!!!! AAAAAAAAAAAAAAAAAAAAAAAAAAH!"""	2
261	Say fruit flies reproduce so much, they will have so much of the same thing that say one of they changed in a way that is beneficial, the rest would not be affected by it. Elephants on the other hand, if they have some change that is beneficial, and reproduce, alot of that animal would be changed. Back to the fruit flies, i am pretty sure they are like bees, where they have a queen who does all the reproducing, so if they want to evolve, the change must happen in the queen.	2
262	Since they are so much smaller and faster than elephants i think that is why.	2
263	since they don't reproduce as fast then there a bigger chance they willl envoled faster, because when reproducing slower they can change more easly.	2
264	smaller	2
265	The 2reason I think its elephants is because even though they reproduce only once every 5 years that offsprings generations that they have could change all their genetics.	2
266	The birthrate is faster than the elephants birthrate.	2
267	the changes go down every generation so fruit flies all the way!!!	2
268	the elephant because it has a longer time period to change then the fruit fly	2
269	the Elephant will evolve faster because it has a longer life period	2
270	The elephants because they take longer to reproduce causing it to evolve more knowledge and adapt more information every once a year or so if anything (like their surroundings/habitat) changes.	2
271	The elephants evolve faster because there's genetic diversity while the over-reproduction of fruit flies, they didn't have much diversity so elephants would evolved faster.	2
272	The elephants reproduce slower but they don't have to do it as often.	2
273	The elephants will evolve faster because their parent's will have more time to evolve in between each elephant baby, causing the baby to get traits faster.	2
274	The elephants would evolve faster because their 'bad traits' would leave faster...	2
275	the fruit flies die much faster than elephants.	2
276	The Fruit Flies have more of a chance to evolve than the elephants.	2
277	The fruit flies will be able to go faster.	2
278	The Fruit flies.	2
279	The fruit fly would have evolved faster due to its mating frequently.	2
280	The Furit fly because it will have more time to make changes to its spieces.	2
281	the more generations that pass the faster the animal will evolve.	2
282	The more of a species created the more natural selection is used.	2
283	the more offspring the higher chance of evolving	2
284	the more things die the faster they will evolve	2
285	The process of natural selection has the chance of happening faster.	2
286	The rate of reproduction states it.	2
287	The reason I think its elephants is because they might reproduce once every 5 years but during that time the environment they live in could change in different ways. Therefore that would make them change so they could get used to their new type of environment.	2
288	The reason why i picked Elephants is, because they have more time to change before they reproduce.	2
289	their climate is constantly changing so they need new features to survive.	2
290	there an type of bug and fruit flies can be much faster then the elephant.	2
291	there are more chances for change	2
292	there are more chances for them to	2
293	There are more chances to pass down traits to the next generation.	2
294	There are more fruit flies causing more posibilities of them evolveing to a differnt species.	2
295	there is alot of genitic diversity.	2
296	there smaller and eat faster	2
297	there smaller witch will make them grow bigger cause there small	2
298	there will become way more Fruit Flies over years.	2
299	There would be less elephants that would evolve and therefore all the elephant s might change while only half of the fruit fly's population has evolved	2
300	They are a much smaller species, being easier to evolve	2
301	They are bigger have tough skin and able to protect themselves.	2
302	they are born faster	2
303	They are small so it may not take as much effort.	2
304	They are smaller	2
305	They are smaller and do not have to change a lot because they are small	2
306	They are smaller and more veriatys	2
307	They are smaller and sometimes can change quickly beccause they need adapt to other things trying to cool or eat them	2
308	They became from Mammoths then into elephents	2
309	They become older during the months not the years while the elephants change during the years.	2
310	they die in 24 hours and they have tons of babyaEU(tm)s	2
311	They evolve faster because a fruit fly is smaller an because they don't live for that long and because the can evolve at a much quicker rate.	2
312	They have a biiger chance of evolution.	2
313	they have more chances	2
314	They have more chances to give birth and evolution happens mostly through birth.	2
315	they have more time to adapt to there surroundings	2
316	They have more time to evolve because there reproduce slower.	2
317	They have more times a year to adapt. If say, their wing size needs to be adjusted, they have 36 generations a year to evolve, while the elephants only have one every 5 years.	2
318	they little	2
319	They might evolve faster because if there's a serious drought and no fruit grows, they might evolve to not needing fruit so much to survive.	2
320	they produce 36 times a year and they are also more comen	2
321	they reproduce a lot faster than the elaphants.	2
322	They reproduce fewer then most things on the planet . if humans hunted them down for their hide and their population droped really far down they would most likely evoulve to survive	2
323	They reproduce more.	2
324	They will evolve faster because they are way smaller so it won't have to change that much.	2
325	They will evolve faster when it changes every month.	2
326	They would evolve faster because they have time to adapt to their surroundings. They would have evolved in that time but, the fruit flies could have not.	2
327	they would have a longer time to evolve	2
328	They would have more time to pass on the traits that they learn in their lifetime quicker.	2
329	To evolve you need time.	2
330	to reproduce faster.	2
331	We should never use Birth Control! Obviously the Elephant knows that!	2
332	Well for one thing fruit flies are way smaller than elephants, so that means that the fruit flies babies or eggs are going to be smaller that the elephant's baby. It also might be harder for the mother elephant to have one baby because of its size.	2
333	Well fruit flies reproduce 36 times and the fruit flies are smaller than elephants.	2
334	well if a fruit fly mates and reproduces its more likely there will be a variation between the babies.	2
335	well its common sense. 36 times a year and 1 time every 5 years. So fruit flies.	2
336	Since they reproduce faster, more changes can be made in a shorter amount of time.	3
337	Because fruit flies reproduce about 36 times a year and elephant only reproduces about once every 5 years. A fruit fly also is smaller than a elephant.	3
338	Fruit flies, because they reproduce more often, evolving and expanding their species and variations.	3
339	Species evolve over generations, and if the fruit flies have more generations, the more likely it is for them to evolve faster.	3
340	The Fruit flies can reproduce 5 times faster than the elephant.	3
341	36 is much bigger than 1 every 5 years while 36 each year so fruit flies.	3
342	36 times a year is faster than once every 5 years.	3
343	a fruit fly because it produces more than the elephants per year.	3
344	A fruit fly evolves faster than an elephant because the fruit fly reproduces 36 times a year while elephants reproduce about once a every 5 years.	3
345	A fruit fly would evolve faster because it reproduces more, so its generations can help the species change, it takes a long time for there to be new generations for elephants, so therefore, fruit flies will evolve faster.	3
346	a species can make a noticeable change every couple thousand generations,if flies have more generations per year then they have more generations and therefore change faster	3
347	A species evolves about every 1000 generations since fruit flies reproduce more often than elephants that 1000 generations will come sooner	3
348	a species that spawns faster evolves faster, variation is more likely to occer over many generations	3
349	As fru3it flies live a short life they can mate many times in a year giving lots of generations to change.	3
350	As fruit flies reproduce faster, there might not be enough food to help them survive and give them energy.	3
351	becaause each has to enheiret the traits that are evolving	3
352	BEcasue since there are more of them only the fittest ones will survive. So since there are more of them they have a better chance of having good unique qualities.	3
353	becasue there are more of them	3
354	becasue with fruit flies they reproduce way more so that means that more generations will come and go, and with more generations that means that they will be able to change/evolve faster unlike the elephant.	3
355	Because they reproduce 36 times which means more fruit flies and they will evolve faster	3
356	Because at the rate the fruit flies are reproducing it is obvious that the fruit flies will be the one that repopulate faster.	3
357	because elephants are more unike	3
358	because every year we get 36 fruit flies and the more the fruit flies population grows. the elephant only reproduces once evry five years so there might be less elephants	3
359	Because evolution happens every time an organism gives birth, so for the fruit flies, evolution occurs much faster than most other animals.	3
360	Because evolution occurs over many generations and if the fruit fly reproduces way more than the elephant then it will evolve much faster too.	3
361	Because evolution takes a certain amount of generations, and fruit flies would have more generations in less time.	3
362	because flies only live for 34 hours so they have to make offspring very fast.	3
363	because fruit flies have babies faster	3
364	Because fruit flies have many generations	3
365	because fruit flies have more offspring I think they evolve faster than the elephants who have to produce about every five years.	3
366	Because fruit flies is smaller so it takes less time to evolve.	3
367	because fruit flies life span is like a week so that means they will evolve more fater.	3
368	because fruit flies produce 36 times every year while elephants don't even reproduce one time in a year.	3
369	because fruit flies produce offspring more so they might change faster then elephants	3
370	Because fruit flies reproduce 36 times and elephants once every 5 years.	3
371	Because fruit flies reproduce about 36 times a year while elephants reproduce about once every 5 years.	3
372	Because fruit flies reproduce faster than elephants, they will evolve faster than elephants.	3
373	Because fruit flies reproduce faster, they would evolve faster because they would have more generations in a shorter amount of time.	3
374	Because fruit flies reproduce more often, more offspring will be given the successful trait every year.	3
375	Because fruit flies reproduce more, the species will evolve faster.	3
376	because fruit flies reproduce so much faster. evolution means change over time. time key word. generations is what it means over time so the faster the generations reproduce the faster the evolve.	3
377	because fruit flies will have shorter generathions so if the elefent grows wings in 100 generathions it will take longer then fruit flies losing wings in 100 generathions.	3
378	because fruit flys produce more and i read/heard that bears can be pregant for about 1 year or something like that.	3
379	because if fruit flies reproduce faster then they can evolve faster because if a fruit fly changes every time it reproduces (lets just say) then there will be 36 changes in a year but for an elephant there would only be 1 change in every 5 years	3
380	Because if fruit flies reproduce so fast, it gives them a better chance of evolving.	3
381	because if you reouce more you evolve faster	3
382	Because in 2 years there will be 73 fruit flies and only 1 new elephant.	3
383	because it reproduces faster than elephants	3
384	Because it takes many generation to evolve so the more you reproduce the more generations there is going to be.	3
385	Because its a smaller creature and may produce lots more offspring and they might produce faster.	3
386	because more fruit flies are hatched in a day than elephants are born in a year.	3
387	Because more generations pass for the animal to evolve.	3
388	because more produced the more likely one will evolve and for evolution to happen some must die and if there is a lot of them and some will surely die then they are more likely to evolve	3
389	because more traits are passed slowly	3
390	Because of a shorter time span then the elephant, the fruit fly has a need to reproduce quicker and this may cause more variation in the offspring.	3
391	because related families of fruit flies like odonata reproduce a lot. And hemoptera reproduce tons faster than elephants	3
392	Because since they are reproducing more, there are more fruit flies so they can evolve faster.	3
393	Because the elephants have less time to evolve, making the fruit flies much faster reproducing, letting them have more time to evolve.	3
394	because the form ofspring faster and smaller	3
395	because the fruit flies make more babies	3
396	Because the fruit flies produce more than an elephant could in 5 years..	3
397	Because the fruit flies produce more they may have a larger varriation of their kind.	3
398	Because the fruit flies reproduce 36 times a year so they could evolve because they reproduce even more and the more they are the faster they might evolve.	3
399	Because the fruit flies reproduce faster.	3
400	Because the fruit fly reproduces faster, it will change more.	3
401	Because the fruit fly reproduces more the different traits will evolve faster than an elephant.	3
402	Because the generations go by much faster and take less time.	3
403	because the more and more that come the more fruit flies will evolve.	3
404	because the more generations you have the faster they will change and adapt to there surroundings	3
405	because the more ofspring the faster the newer type comes out	3
406	Because the more they reproduce the more they will get used to modern day.	3
407	Because the more you produce the faster you evolve because you can pass your good traits down.	3
408	because the reprodce more a year than an elephant	3
409	Because the speed of the reproduction of fruit flies is much faster so then so would the evolution.	3
410	Because their are many more fruit flies and they produce more each year then they will evolve at a faster rate than the large animal, the elephant.	3
411	Because their bodies are smaller than elephants	3
412	Because their smaller.	3
413	Because there are more babies that can change faster because the Fruit fly reproduces faster.	3
414	because there are more of them	3
415	because there are more of them.	3
416	Because there are so many fewer elephants, the elephants would not take as long to evolve, because of the lack of nonevolved mates.	3
417	because there is more fruit files and not so much elephants	3
418	because there is more of a chance to evolve with fast reproduction.	3
419	because theres more generations as the fruit fly reproduces and that could evolve and change with the environment	3
420	because they are bigger animals and easy to spot and fruit flies fly so they cant be caught in anything or no animals can catch them	3
421	because they are reproducing faster so they will probably evolve faster than the elephants	3
422	Because they are smaller.	3
423	Because they breed more so then they are able to change faster than somthing that is only born every 5 years.	3
424	Because they don't live long, they evolve very fast.	3
425	because they get a lot of off spring	3
426	because they give off more offspring	3
427	because they have a short life time.	3
428	because they have faster generations so there is a shorter time it takes for them to evolve	3
429	because they have more babies so more and more fruit flies will get the good trait	3
430	Because they have more generation to change in a year, and I know and use the math.	3
431	Because they have more generations in a year then elephants.	3
432	Because they have more generations/time to develop new traits.	3
433	because they have more kids that might have different traits than the parents so that they can survive.	3
434	Because they have more of themselves to evolve from.	3
435	because they have more offspring	3
436	because they have more offspring	3
437	because they have more to evolve	3
438	because they make more flies	3
439	because they make more than elephates	3
440	because they make new fruit flies more often	3
441	because they produce a lot more and eventually after a little bit the genes from different fruit flies will evolve into something else.	3
442	because they produce more faster.	3
443	because they produce more in the same amount of time. When an elephant reproduces once the fruit flies will have reproduce seven times.	3
444	Because they produce offspring a lot they would get traits quicker.	3
445	because they reproducd more	3
446	Because they reproduce 36 times a year.	3
447	because they reproduce a lot more	3
